Transaction ID,Date,Product Category,Product Name,Units Sold,Unit Price,Total Revenue,Region,Payment Method
10001,2024-01-01,Electronics,iPad,1,700,700,Asia,PayPal
10002,2024-01-02,Home Appliances,Dyson Vacuum,2,600,1200,Europe,Credit Card
10003,2024-01-03,Furniture,Bookshelf,5,300,1500,Asia,Cash
10004,2024-01-04,Sports,Treadmill,1,800,800,Asia,Debit Card
10005,2024-01-05,Fashion,Leather Jacket,5,250,1250,Africa,Credit Card
10006,2024-01-06,Electronics,iPad,2,700,1400,Oceania,Cash
10007,2024-01-07,Home Appliances,Dyson Vacuum,4,600,2400,Africa,PayPal
10008,2024-01-08,Furniture,Office Chair,2,350,700,Oceania,Cash
10009,2024-01-09,Sports,Exercise Bike,3,700,2100,Europe,Debit Card
10010,2024-01-10,Fashion,Sneakers,1,180,180,Asia,Cash
10011,2024-01-11,Electronics,iPhone,3,900,2700,North America,PayPal
10012,2024-01-12,Home Appliances,Dyson Vacuum,4,600,2400,Africa,Credit Card
10013,2024-01-13,Furniture,Study Table,1,400,400,Africa,PayPal
10014,2024-01-14,Sports,Dumbbell Set,5,250,1250,North America,Debit Card
10015,2024-01-15,Fashion,Smart Watch,1,350,350,Asia,Debit Card
10016,2024-01-16,Electronics,Samsung Galaxy,1,850,850,Europe,Credit Card
10017,2024-01-17,Home Appliances,Air Fryer,3,250,750,South America,PayPal
10018,2024-01-18,Furniture,Office Chair,3,350,1050,North America,Debit Card
10019,2024-01-19,Sports,Dumbbell Set,3,250,750,Oceania,Credit Card
10020,2024-01-20,Fashion,Smart Watch,2,350,700,Africa,Debit Card
10021,2024-01-21,Electronics,iPhone,4,900,3600,South America,PayPal
10022,2024-01-22,Home Appliances,Microwave Oven,5,300,1500,Europe,PayPal
10023,2024-01-23,Furniture,Office Chair,2,350,700,Asia,PayPal
10024,2024-01-24,Sports,Exercise Bike,3,700,2100,Asia,Debit Card
10025,2024-01-25,Fashion,Smart Watch,3,350,1050,Europe,Cash
10026,2024-01-26,Electronics,Samsung Galaxy,4,850,3400,Europe,PayPal
10027,2024-01-27,Home Appliances,Dyson Vacuum,2,600,1200,Oceania,PayPal
10028,2024-01-28,Furniture,Bookshelf,5,300,1500,South America,Cash
10029,2024-01-29,Sports,Exercise Bike,2,700,1400,Europe,Cash
10030,2024-01-30,Fashion,Leather Jacket,1,250,250,Asia,Debit Card
10031,2024-01-31,Electronics,iPad,2,700,1400,Oceania,Cash
10032,2024-02-01,Home Appliances,Microwave Oven,1,300,300,South America,Cash
10033,2024-02-02,Furniture,Bookshelf,4,300,1200,Africa,PayPal
10034,2024-02-03,Sports,Dumbbell Set,1,250,250,Oceania,Credit Card
10035,2024-02-04,Fashion,Smart Watch,5,350,1750,North America,PayPal
10036,2024-02-05,Electronics,iPhone,3,900,2700,South America,Debit Card
10037,2024-02-06,Home Appliances,Air Fryer,1,250,250,Oceania,PayPal
10038,2024-02-07,Furniture,Bookshelf,2,300,600,Africa,Credit Card
10039,2024-02-08,Sports,Dumbbell Set,3,250,750,Oceania,Debit Card
